cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,234,15750,3.6907717e-05,73.6,1,4096x4096x4096,100,1,1,0
2,376,26331,5.2923577e-05,82.9,2,4096x4096x4096,100,1,1,0
3,645,46285,5.9104044e-05,115.7,3,4096x4096x4096,100,1,1,0
4,867,62131,0.010711657,145.0,4,4096x4096x4096,1,0,0,0
5,920,64845,0.01246982,145.6,4,4096x4096x4096,30,0,0,0
6,1000,70421,0.007857328,145.0,4,4096x4096x4096,30,0,0,0
7,1122,78412,5.17373e-05,129.2,4,4096x4096x4096,50,0,0,0
8,1265,87270,0.0053139464,142.9,4,4096x4096x4096,50,0,0,0
9,1458,99800,4.1696174e-05,142.5,4,4096x4096x4096,50,0,0,0
10,1756,121542,3.7666774e-05,142.0,5,4096x4096x4096,100,1,1,0
11,2188,151882,3.4709657e-05,136.3,6,4096x4096x4096,1,0,0,0
12,2418,168848,3.7665843e-05,141.5,6,4096x4096x4096,1,0,0,0
13,2575,180085,4.6992205e-05,147.9,7,4096x4096x4096,50,0,0,0
14,2968,203716,3.065852e-05,146.1,8,4096x4096x4096,50,0,0,0
15,3043,206940,3.117113e-05,151.6,7,4096x4096x4096,1,0,0,0
16,3453,227314,3.4345594e-05,176.8,7,4096x4096x4096,1,0,0,0
17,3991,255985,3.4096323e-05,181.9,7,4096x4096x4096,1,0,0,0
18,4318,269171,4.472444e-05,191.7,7,4096x4096x4096,1,0,0,0
19,5461,290700,3.616463e-05,191.7,7,4096x4096x4096,100,1,1,0
20,5559,295619,5.7225836e-05,131.7,7,4096x4096x4096,100,1,1,0
21,5755,305550,3.6453952e-05,187.8,7,4096x4096x4096,100,1,1,0
22,5823,309526,3.405844e-05,192.9,7,4096x4096x4096,100,1,1,0
23,6037,325736,0.01727403,194.8,9,4096x4096x4096,100,1,1,0
24,6534,349338,3.414383e-05,191.7,7,4096x4096x4096,100,1,1,0
