cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,143,9859,3.4041987e-05,29.9,1,4096x4096x4096,100,1,1,0
2,487,33373,3.2909735e-05,48.1,2,4096x4096x4096,100,1,1,0
3,708,45123,3.1366424e-05,96.3,3,4096x4096x4096,100,1,1,0
4,849,54879,3.657932e-05,133.7,4,4096x4096x4096,100,1,1,0
5,1098,67025,9.314768e-05,103.7,5,4096x4096x4096,100,1,1,0
6,1276,78949,3.8115882e-05,114.7,6,4096x4096x4096,100,1,1,0
7,1459,88753,3.3400178e-05,130.0,7,4096x4096x4096,100,1,1,0
8,1614,100571,3.9235332e-05,95.2,8,4096x4096x4096,100,1,1,0
9,1646,102017,4.2164374e-05,95.2,8,4096x4096x4096,100,1,1,0
10,1700,105276,3.55904e-05,129.9,8,4096x4096x4096,100,1,1,0
11,1757,105813,3.5326888e-05,129.5,8,4096x4096x4096,100,1,1,0
12,1894,114056,3.33756e-05,139.2,9,4096x4096x4096,100,1,1,0
13,2097,125968,3.7730544e-05,145.3,9,4096x4096x4096,100,1,1,0
14,2245,134401,3.2673757e-05,143.6,9,4096x4096x4096,100,1,1,0
15,2373,141186,4.182058e-05,91.3,9,4096x4096x4096,100,1,1,0
16,2553,149485,0.018412022,175.3,10,4096x4096x4096,100,1,1,0
17,2721,158237,0.01783761,153.1,10,4096x4096x4096,100,1,1,0
18,2922,169559,0.019275386,144.5,10,4096x4096x4096,100,1,1,0
19,3024,176070,0.018233836,174.7,10,4096x4096x4096,100,1,1,0
20,3216,190262,3.308776e-05,155.4,11,4096x4096x4096,100,1,1,0
21,3404,202697,4.5930003e-05,157.8,9,4096x4096x4096,100,1,1,0
22,3602,214399,3.2573003e-05,157.4,11,4096x4096x4096,100,1,1,0
23,3656,216470,3.3440683e-05,157.3,12,4096x4096x4096,100,1,1,0
24,3945,236079,0.019920891,175.5,10,4096x4096x4096,100,1,1,0
25,4111,246321,3.903815e-05,158.2,11,4096x4096x4096,100,1,1,0
26,4349,262986,3.441305e-05,158.3,11,4096x4096x4096,100,1,1,0
27,4690,288267,3.3705976e-05,157.8,11,4096x4096x4096,100,1,1,0
28,4803,294954,3.3973596e-05,144.1,13,4096x4096x4096,100,1,1,0
29,4874,297288,3.5030072e-05,157.5,11,4096x4096x4096,100,1,1,0
30,4948,301260,3.65514e-05,123.3,9,4096x4096x4096,100,1,1,0
31,5036,306765,3.5843623e-05,156.4,11,4096x4096x4096,3,0,0,0
