cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,185,11253,3.4179007e-05,60.8,1,4096x4096x4096,100,1,1,0
2,425,30192,4.078546e-05,108.4,2,4096x4096x4096,100,1,1,0
3,589,40981,3.5705136e-05,143.3,3,4096x4096x4096,100,1,1,0
4,720,49752,5.6804776e-05,121.0,4,4096x4096x4096,100,1,1,0
5,938,61613,3.2707023e-05,146.6,5,4096x4096x4096,100,1,1,0
6,1202,81287,3.8319296e-05,187.5,6,4096x4096x4096,100,1,1,0
7,1343,88611,3.9341547e-05,186.0,7,4096x4096x4096,100,1,1,0
8,1529,100645,3.659594e-05,148.4,8,4096x4096x4096,100,1,1,0
9,1657,109402,4.622843e-05,172.9,8,4096x4096x4096,100,1,1,0
10,1885,119738,4.6811965e-05,177.4,?,4096x4096x4096,100,1,1,0
11,2695,167738,3.221812e-05,154.4,8,4096x4096x4096,100,1,1,0
12,2881,177550,4.3223983e-05,158.8,8,4096x4096x4096,5,0,0,0
13,3270,196210,4.2321422e-05,188.3,9,4096x4096x4096,100,1,1,0
14,3375,202730,3.7163714e-05,190.3,9,4096x4096x4096,100,1,1,0
15,3462,207658,3.6914345e-05,191.8,9,4096x4096x4096,100,1,1,0
16,3496,208783,4.075487e-05,180.2,10,4096x4096x4096,100,1,1,0
17,3598,214921,4.4820346e-05,149.1,11,4096x4096x4096,100,1,1,0
18,3753,223456,0.020554423,194.2,12,4096x4096x4096,1,0,0,0
19,3913,234038,3.4935296e-05,192.0,13,4096x4096x4096,100,1,1,0
20,4014,239827,3.3660494e-05,173.1,14,4096x4096x4096,100,1,1,0
21,4130,245604,3.338712e-05,191.7,9,4096x4096x4096,100,1,1,0
22,4411,259877,3.3887827e-05,157.2,15,4096x4096x4096,100,1,1,0
23,4527,265139,4.0370876e-05,191.8,16,4096x4096x4096,100,1,1,0
24,4722,277717,4.553518e-05,205.1,17,4096x4096x4096,100,1,1,0
25,4871,284286,3.630341e-05,191.3,18,4096x4096x4096,100,1,1,0
26,4990,290274,3.659025e-05,205.6,17,4096x4096x4096,100,1,1,0
27,5119,297230,3.6557278e-05,205.6,18,4096x4096x4096,100,1,1,0
28,5275,306693,4.8417052e-05,204.3,18,4096x4096x4096,100,1,1,0
29,5481,317740,3.4620265e-05,203.2,18,4096x4096x4096,100,1,1,0
30,5593,322755,3.8588078e-05,205.5,17,4096x4096x4096,100,1,1,0
31,7180,417993,3.148234e-05,205.1,17,4096x4096x4096,100,1,1,0
32,8324,486457,3.7400998e-05,206.7,21,4096x4096x4096,100,1,1,0
33,8986,515543,4.0528175e-05,206.5,21,4096x4096x4096,100,1,1,0
34,9928,561807,3.0458017e-05,206.8,21,4096x4096x4096,100,1,1,0
35,10506,598755,4.187777e-05,206.7,21,4096x4096x4096,100,1,1,0
36,11311,647890,4.0617695e-05,206.8,21,4096x4096x4096,100,1,1,0
37,12884,721434,3.701468e-05,206.7,21,4096x4096x4096,100,1,1,0
