cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,257,12636,4.5367957e-05,61.4,1,4096x4096x4096,100,1,1,0
2,350,17167,5.6468878e-05,99.7,2,4096x4096x4096,100,1,1,0
3,599,34485,0.00027645862,101.5,3,4096x4096x4096,100,1,1,0
4,652,36208,0.00031482914,0.4,3,4096x4096x4096,1,0,0,0
5,782,44629,5.8400914e-05,102.8,4,4096x4096x4096,100,1,1,0
6,974,54848,0.026966766,152.0,5,4096x4096x4096,100,1,1,0
7,1232,69185,0.017408056,159.6,6,4096x4096x4096,100,1,1,0
8,1479,81259,0.017527858,158.1,7,4096x4096x4096,100,1,1,0
9,1857,106246,0.0576198,153.4,9,4096x4096x4096,100,1,1,0
10,2218,128145,0.02396774,153.5,10,4096x4096x4096,1,0,0,0
11,2458,142146,0.024140758,154.1,11,4096x4096x4096,1,0,0,0
12,2797,160568,0.019706521,149.3,13,4096x4096x4096,100,1,1,0
13,2983,168829,0.024659926,137.1,12,4096x4096x4096,100,1,1,0
14,3060,170891,0.017143628,78.9,14,4096x4096x4096,1,0,0,0
15,3254,176671,0.021276386,158.9,15,4096x4096x4096,100,1,1,0
16,3466,189426,0.01850023,146.8,16,4096x4096x4096,1,0,0,0
17,3736,204019,0.019598283,159.5,17,4096x4096x4096,1,0,0,0
18,4159,224380,147.90164,231.0,8,4096x4096x4096,100,1,0,0
19,4327,234445,0.022168336,90.5,18,4096x4096x4096,1,0,0,0
20,4659,257687,0.018807942,173.3,19,4096x4096x4096,1,0,0,0
21,4854,268625,0.01979638,176.1,20,4096x4096x4096,100,1,1,0
22,5000,277062,0.020595152,142.8,21,4096x4096x4096,1,0,0,0
23,5255,289196,0.019390272,167.7,22,4096x4096x4096,100,1,1,0
24,5347,294501,0.020809047,164.9,22,4096x4096x4096,100,1,1,0
25,5618,309329,0.02044526,178.4,23,4096x4096x4096,100,1,1,0
26,5878,321406,0.027160745,163.9,24,4096x4096x4096,100,1,1,0
27,5950,324330,0.019876711,179.5,23,4096x4096x4096,100,1,1,0
28,6159,335844,223.88167,230.4,24,4096x4096x4096,100,1,0,0
29,6246,339727,0.01891496,178.5,23,4096x4096x4096,100,1,1,0
30,6417,348337,0.017883752,175.6,24,4096x4096x4096,100,1,1,0
31,6479,351570,0.017146608,179.5,23,4096x4096x4096,100,1,1,0
32,6631,358784,0.05134507,151.6,24,4096x4096x4096,1,0,0,0
33,6730,363583,0.024523048,179.5,23,4096x4096x4096,100,1,1,0
34,7171,390540,0.017988022,176.1,24,4096x4096x4096,100,1,1,0
35,7235,393101,0.017556904,176.0,24,4096x4096x4096,100,1,1,0
36,7297,395554,0.018618293,179.5,23,4096x4096x4096,100,1,1,0
37,7542,408784,0.017419102,46.9,24,4096x4096x4096,100,1,1,0
38,7589,410133,0.018207097,178.4,23,4096x4096x4096,100,1,1,0
39,7694,415857,0.019653536,178.4,24,4096x4096x4096,100,1,1,0
40,7739,417309,0.018899063,178.7,23,4096x4096x4096,100,1,1,0
41,7854,421443,0.017954318,178.5,23,4096x4096x4096,100,1,1,0
42,7920,423673,0.023848465,178.4,23,4096x4096x4096,100,1,1,0
43,8013,428833,0.020388763,122.0,24,4096x4096x4096,100,1,1,0
44,8057,430067,0.02221802,178.9,23,4096x4096x4096,100,1,1,0
45,8390,450558,0.018340945,156.8,24,4096x4096x4096,100,1,1,0
46,8624,463623,0.018941348,91.1,24,4096x4096x4096,1,0,0,0
47,8940,474645,0.01794569,146.8,24,4096x4096x4096,100,1,1,0
48,9016,477881,0.026282389,179.7,23,4096x4096x4096,100,1,1,0
49,9197,487738,0.016356852,144.7,24,4096x4096x4096,1,0,0,0
50,9291,492119,0.019415686,178.5,23,4096x4096x4096,100,1,1,0
51,9403,497540,0.0199158,179.1,24,4096x4096x4096,100,1,1,0
52,9475,500118,0.018585056,179.5,23,4096x4096x4096,100,1,1,0
53,9593,505459,0.020826615,117.0,24,4096x4096x4096,100,1,1,0
54,9809,517371,0.018157817,178.4,23,4096x4096x4096,100,1,1,0
55,10065,532307,0.024020702,175.2,24,4096x4096x4096,100,1,1,0
56,10618,563212,0.017191293,183.4,24,4096x4096x4096,100,1,1,0
57,10647,563914,0.018937424,183.5,24,4096x4096x4096,100,1,1,0
58,11079,591424,0.017065924,188.7,25,4096x4096x4096,100,1,1,0
59,11121,592152,0.023624005,187.7,25,4096x4096x4096,100,1,1,0
60,12220,602187,0.027072363,174.2,26,4096x4096x4096,100,1,1,0
61,12694,633068,0.017534418,179.5,27,4096x4096x4096,100,1,1,0
62,12864,642478,0.017713578,186.9,25,4096x4096x4096,100,1,1,0
63,13525,681480,0.023201909,188.3,26,4096x4096x4096,100,1,1,0
64,13578,682462,0.017536588,187.4,26,4096x4096x4096,100,1,1,0
65,13736,687927,0.018192872,187.3,25,4096x4096x4096,100,1,1,0
66,13854,694355,0.016947053,188.5,25,4096x4096x4096,100,1,1,0
67,14334,721505,0.019003201,187.4,25,4096x4096x4096,100,1,1,0
68,14476,730144,0.017871095,195.0,25,2048x6912x4096,100,0,0,0
69,14560,734003,0.029208751,156.1,28,4096x4096x4096,100,1,1,0
70,14642,737019,0.033967417,187.4,25,4096x4096x4096,100,1,1,0
71,15205,771206,0.043456204,129.0,28,4096x4096x4096,100,1,1,0
72,15294,774804,0.02150078,187.9,25,4096x4096x4096,100,1,1,0
73,15834,809945,0.021330291,187.4,25,4096x4096x4096,1,0,0,0
74,15941,814813,0.019238181,185.3,29,4096x4096x4096,100,1,1,0
75,16039,818934,0.023839263,188.0,25,4096x4096x4096,100,1,1,0
76,16215,828099,0.019786993,187.7,28,4096x4096x4096,100,1,1,0
77,16313,832195,0.021412147,187.3,25,4096x4096x4096,100,1,1,0
78,16547,844553,0.016364006,175.6,28,4096x4096x4096,100,1,1,0
