cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,686,12211,3.304919e-05,55.0,1,4096x4096x4096,100,1,1,0
2,1310,43802,9.523138e-07,0.1,2,128x128x32,1,0,0,0
3,1356,44519,1.5368982e-05,0.4,2,128x128x4096,1,0,0,0
4,1465,45698,8.459771e-07,0.5,2,4096x4096x4096,1,0,0,0
5,1504,46215,4.3590197e-05,52.1,2,4096x4096x4096,1,0,0,0
6,1605,47555,5.760869e-05,57.5,2,4096x4096x4096,100,1,1,0
7,2088,65521,4.702809e-05,145.7,3,4096x4096x4096,100,1,1,0
8,2468,74777,3.3791886e-05,144.9,4,4096x4096x4096,100,1,1,0
9,3707,97819,3.6025805e-05,155.6,6,4096x4096x4096,100,1,1,0
10,3969,102760,3.6329766e-05,117.1,7,4096x4096x4096,100,1,1,0
11,4523,114174,3.415074e-05,167.2,8,4096x4096x4096,100,1,1,0
12,4649,114548,3.6027857e-05,153.8,?,4096x4096x4096,100,1,1,0
13,4955,121229,3.5960747e-05,149.2,11,4096x4096x4096,100,1,1,0
