cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,317,23408,11.410417,37.5,1,4096x4096x4096,100,1,0,0
2,425,31563,6.9295874,0.0,1,4096x4096x4096,1,0,0,0
3,592,42717,3.0789088e-05,36.0,1,4096x4096x4096,100,1,1,0
4,753,55030,3.4229608e-05,97.5,2,4096x4096x4096,100,1,1,0
5,789,56960,4.126111e-05,0.1,2,4096x4096x4096,1,0,0,0
6,1176,86927,2.263384e-06,0.2,3,256x256x256,1,0,0,0
7,1443,104325,3.9811825e-05,98.0,4,4096x4096x4096,100,1,1,0
8,1515,108232,3.8055558e-05,91.3,5,4096x4096x4096,100,1,1,0
9,1645,115714,4.609517e-05,119.4,6,4096x4096x4096,100,1,1,0
10,1761,121321,3.9731778e-05,111.9,7,4096x4096x4096,100,1,1,0
11,1927,131168,3.853213e-05,82.9,9,4096x4096x4096,1,0,0,0
12,2027,135723,3.3296616e-05,136.7,10,4096x4096x4096,100,1,1,0
13,2141,142551,3.845218e-05,132.0,11,4096x4096x4096,1,0,0,0
14,2389,161444,3.2364285e-05,138.1,12,4096x4096x4096,100,1,1,0
15,2520,171188,4.696258e-06,0.4,13,256x512x512,1,0,0,0
16,2532,171798,3.2719418e-05,141.6,13,4096x4096x4096,20,0,0,0
17,2559,172691,3.3007043e-05,141.8,13,4096x4096x4096,1,0,0,0
18,2735,184792,1.9444373e-05,5.5,14,1024x1024x1024,1,0,0,0
19,2819,188673,3.8012186e-05,155.5,15,4096x4096x4096,30,0,0,0
20,2878,191363,8.752979e-06,5.1,16,1024x1024x1024,1,0,0,0
21,2955,195260,4.4645025e-05,153.4,17,4096x4096x4096,100,1,1,0
22,3161,206687,3.340898e-05,155.3,15,4096x4096x4096,30,0,0,0
23,3502,224987,1.2202349e-05,4.7,19,1024x1024x1024,1,0,0,0
24,3523,225641,4.08096e-05,158.3,19,4096x4096x4096,1,0,0,0
25,3635,230033,3.3610188e-05,156.5,?,4096x4096x4096,100,1,1,0
26,3723,232328,3.0309562e-05,155.2,21,4096x4096x4096,30,0,0,0
27,3777,235618,3.6255384e-05,163.6,34,4096x4096x4096,300,0,0,0
28,3856,239553,4.2110052e-05,161.5,50,4096x4096x4096,100,1,1,0
29,3913,242484,4.3005388e-05,3.6,51,1024x1024x1024,1,0,0,0
30,4058,251475,9.975126e-06,3.6,53,1024x1024x1024,1,0,0,0
31,4149,254639,4.3943997e-05,175.2,53,4096x4096x4096,100,1,1,0
32,4377,270436,8.101353e-06,3.4,56,1024x1024x1024,1,0,0,0
33,4495,277410,0.011488693,3.2,57,1024x1024x1024,1,0,0,0
34,4614,285597,3.1717096e-05,178.8,56,4096x4096x4096,100,1,1,0
35,4704,290782,0.018820448,89.1,58,4096x4096x4096,50,0,0,0
36,4823,298486,2.9630817e-05,178.7,56,4096x4096x4096,100,1,1,0
37,4883,302169,3.6840273e-05,178.5,56,4096x4096x4096,50,0,0,0
38,5001,309008,3.6028483e-05,178.8,60,4096x4096x4096,100,1,1,0
39,5099,314600,3.707902e-05,178.7,56,4096x4096x4096,100,1,1,0
40,5394,332865,9.867929e-06,10.1,4,1024x1024x1024,1,0,0,0
41,5490,337665,3.3383538e-05,178.8,56,4096x4096x4096,100,1,1,0
42,5609,344975,1.5610454e-05,97.9,56,4096x4096x4096,20,0,0,0
43,5631,345823,3.891935e-05,191.9,56,8192x8192x4096,10,0,0,0
44,5776,355262,3.9032388e-05,177.2,56,4096x4096x4096,100,1,1,0
