cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,136,9225,0.020516157,114.0,1,4096x4096x4096,100,1,1,0
2,289,18911,0.01779154,140.9,2,4096x4096x4096,100,1,1,0
3,439,30174,4.4293207e-05,103.4,3,4096x4096x4096,100,1,1,0
4,664,45279,0.000108578446,103.8,4,4096x4096x4096,100,1,1,0
5,933,64890,0.017687991,142.3,5,4096x4096x4096,100,1,1,0
6,1033,69930,0.02004175,151.8,5,4096x4096x4096,1,0,0,0
7,1151,78581,0.017755864,151.9,6,4096x4096x4096,1,0,0,0
8,1373,91968,0.016766297,153.7,5,4096x4096x4096,1,0,0,0
9,1494,100457,0.021228405,155.4,7,4096x4096x4096,1,0,0,0
10,1646,111217,0.022588078,131.3,8,4096x4096x4096,1,0,0,0
11,1903,125609,0.018113567,159.3,?,4096x4096x4096,100,1,1,0
12,2133,138309,0.027463634,159.4,?,4096x4096x4096,100,1,1,0
13,2295,145474,0.018310783,176.4,?,4096x4096x4096,100,1,1,0
14,2512,155668,0.020358039,161.3,?,4096x4096x4096,100,1,1,0
15,2621,160128,0.019208534,146.8,?,4096x4096x4096,100,1,1,0
16,2693,161659,0.017071828,182.7,?,4096x4096x4096,100,1,1,0
17,2867,172074,3.3880457e-05,151.5,?,4096x4096x4096,100,1,1,0
18,2943,173466,3.4024866e-05,195.5,?,4096x4096x4096,100,1,1,0
19,3131,182581,3.1104628e-05,185.3,?,4096x4096x4096,100,1,1,0
20,3236,186437,3.6348556e-05,159.3,?,4096x4096x4096,100,1,1,0
21,3354,191632,3.8543127e-05,196.6,36,4096x4096x4096,100,1,1,0
22,3641,208067,170.35059,162.5,?,4096x4096x4096,100,1,0,0
23,3722,209838,3.87398e-05,195.4,40,4096x4096x4096,100,1,1,0
24,3818,214448,4.204587e-05,14.2,43,4096x4096x4096,1,0,0,0
25,3996,224963,3.3321277e-05,196.9,33,4096x4096x4096,100,1,1,0
26,4226,240338,3.3678156e-05,206.8,33,4096x4096x4096,2000,0,0,0
27,4474,254122,2.01717e-05,110.1,33,4096x4096x2048,30,0,0,0
28,4716,271904,0.018280873,155.2,44,4096x4096x4096,1,0,0,0
29,4777,274803,3.226113e-05,195.5,33,4096x4096x4096,100,1,1,0
30,4883,281343,3.208354e-05,196.9,33,4096x4096x4096,100,1,1,0
