cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,166,11807,3.5363028e-05,64.6,1,4096x4096x4096,100,1,1,0
2,315,23862,0.0007109332,117.1,2,4096x4096x4096,100,1,1,0
3,623,45905,0.034535125,150.3,3,4096x4096x4096,100,1,1,0
4,743,54055,0.04509133,150.6,3,4096x4096x4096,30,0,0,0
5,883,64069,3.5891812e-06,0.2,3,512x512x512,1,0,0,0
6,1515,106120,5.618024e-05,127.5,3,4096x4096x4096,100,1,1,0
7,1648,114015,3.6768473e-05,148.8,3,512x512x512,1,0,0,0
8,1813,122787,3.341177e-05,148.9,4,4096x4096x4096,100,1,1,0
9,2033,135100,4.342586e-05,122.3,5,4096x4096x4096,100,1,1,0
10,2087,138063,3.4983597e-05,121.6,6,4096x4096x4096,100,1,1,0
11,2156,141905,3.9198683e-05,116.4,7,4096x4096x4096,100,1,1,0
12,2264,148389,4.0481405e-05,103.8,8,4096x4096x4096,1,0,0,0
13,2327,151839,8.4252526e-05,102.3,8,4096x4096x4096,1,0,0,0
14,2487,161042,4.073877e-05,112.4,5,4096x4096x4096,1,0,0,0
15,2617,168721,4.0939685e-05,150.3,5,4096x4096x4096,1,0,0,0
16,2810,180548,3.296322e-05,121.7,6,4096x4096x4096,1,0,0,0
17,3049,197717,6.95752e-05,121.1,7,4096x4096x4096,100,1,1,0
18,3126,201903,3.720387e-05,67.3,8,4096x4096x4096,1,0,0,0
19,3265,209949,3.2917083e-05,112.8,6,512x512x512,1,0,0,0
20,3406,218223,0.024529906,125.7,6,4096x4096x4096,100,1,1,0
21,3463,221012,0.034076344,127.4,6,4096x4096x4096,1,0,0,0
22,3493,221915,0.017841844,153.8,6,4096x4096x4096,1,0,0,0
23,3550,224573,0.01965128,155.3,6,4096x4096x4096,100,1,1,0
24,3844,241172,0.031248013,98.3,7,4096x4096x4096,1,0,0,0
25,4096,255682,4.7034853e-05,150.3,5,4096x4096x4096,100,1,1,0
26,4244,265033,3.4356126e-05,135.3,7,4096x4096x4096,100,1,1,0
27,4513,283904,3.627302e-05,133.3,7,4096x4096x4096,100,1,1,0
28,4868,305941,3.6493147e-05,149.4,8,4096x4096x4096,100,1,1,0
29,5148,322592,3.3201566e-05,151.0,8,4096x4096x4096,100,1,1,0
30,5276,329217,0.017870381,156.5,9,4096x4096x4096,100,1,1,0
31,5448,339480,0.017690187,154.5,10,2048x2048x2048,3,0,0,0
32,5751,355779,0.016670931,156.5,9,4096x4096x4096,100,1,1,0
33,6038,369126,3.6773625e-05,175.2,10,512x512x512,1,0,0,0
34,6078,370220,5.119868e-05,180.9,10,4096x4096x4096,100,1,1,0
35,6175,373916,0.022155099,181.5,11,4096x4096x4096,100,1,1,0
36,6256,378218,3.9047645e-05,180.1,10,4096x4096x4096,100,1,1,0
37,6505,389688,0.01576897,176.3,11,4096x4096x4096,100,1,1,0
38,6585,392486,5.6426004e-05,181.2,10,4096x4096x4096,100,1,1,0
39,6851,405601,0.020690762,209.9,7,4096x4096x4096,1,0,0,0
40,7179,421645,0.01923283,209.7,7,4096x4096x4096,100,1,1,0
41,7318,430377,0.018959481,209.7,7,4096x4096x4096,100,1,1,0
42,7461,435834,0.024427831,209.7,7,4096x4096x4096,100,1,1,0
43,7734,450497,0.01766773,218.6,8,512x512x512,1,0,0,0
44,7879,457105,3.6538207e-05,188.1,10,512x512x512,1,0,0,0
45,8064,467351,0.017581299,218.4,8,4096x4096x4096,100,1,1,0
46,8189,473884,3.1311447e-05,188.1,10,4096x4096x4096,100,1,1,0
47,8363,482310,0.019449087,218.4,8,4096x4096x4096,100,1,1,0
48,8582,494593,0.030279877,218.6,8,4096x4096x4096,100,1,1,0
