cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,452,28073,3.674103e-05,122.0,1,4096x4096x4096,100,1,1,0
2,671,40665,4.5654913e-05,150.2,2,4096x4096x4096,100,1,1,0
3,695,41361,4.2063795e-05,148.8,2,4096x4096x4096,1,0,0,0
4,750,43814,3.9784794e-05,148.3,2,4096x4096x4096,1,0,0,0
5,906,54769,3.4752757e-05,192.5,3,4096x4096x4096,100,1,1,0
6,1033,61182,4.2855583e-05,192.5,3,4096x4096x4096,100,1,1,0
7,1112,63495,4.297384e-05,193.1,3,4096x4096x4096,3000,0,0,0
8,1195,66258,3.3303357e-05,193.1,3,4096x4096x4096,20000,0,0,0
9,1456,80375,3.5838726e-05,201.8,4,4096x4096x4096,100,1,1,0
10,1475,81068,3.215325e-05,199.1,4,4096x4096x4096,1,0,0,0
11,1687,92767,4.4963082e-05,57.6,5,4096x4096x4096,100,1,1,0
12,1740,95682,3.2364722e-05,59.7,5,4096x4096x4096,100,1,1,0
13,1775,97295,3.801616e-05,59.7,5,4096x4096x4096,100,1,1,0
14,1849,102259,0.01826175,174.0,5,4096x4096x4096,100,1,1,0
15,1887,104044,0.019785188,209.1,5,4096x4096x4096,100,1,1,0
16,2269,129018,0.024747107,191.3,6,4096x4096x4096,100,1,1,0
17,2451,140878,0.021583585,159.1,6,4096x4096x4096,100,1,1,0
18,2568,147557,0.018861279,158.9,6,4096x4096x4096,100,1,1,0
19,2776,165229,0.024549292,158.7,6,4096x4096x4096,100,1,1,0
20,2874,169875,0.020067194,158.5,6,4096x4096x4096,100,1,1,0
21,3098,182983,0.02121113,207.0,7,4096x4096x4096,100,1,1,0
22,3281,192702,0.024998723,175.0,8,4096x4096x4096,100,1,1,0
23,3326,195055,0.016727632,193.9,8,4096x4096x4096,100,1,1,0
24,3418,198687,0.019470127,208.2,9,4096x4096x4096,100,1,1,0
25,3433,199009,0.016980466,208.0,9,4096x4096x4096,100,1,1,0
26,3458,199922,0.017756848,205.6,9,4096x4096x4096,100,1,1,0
27,3498,202153,0.020040398,210.8,9,4096x4096x4096,100,1,1,0
28,3549,204860,0.022254076,194.3,9,4096x4096x4096,100,1,1,0
29,3661,211129,0.02731148,210.9,9,4096x4096x4096,100,1,1,0
30,3818,219348,0.018193629,210.8,9,4096x4096x4096,100,1,1,0
31,3899,223333,0.024165584,201.9,9,4096x4096x4096,100,1,1,0
32,3926,224409,0.022036653,208.5,9,4096x4096x4096,100,1,1,0
33,4149,235943,0.01985664,211.1,9,4096x4096x4096,100,1,1,0
34,4180,237109,0.016821029,202.8,9,4096x4096x4096,100,1,1,0
35,4214,238359,0.032713745,209.3,9,4096x4096x4096,100,1,1,0
36,4250,239841,0.017033163,211.4,9,4096x4096x4096,100,1,1,0
37,4374,247702,0.021720212,197.8,10,4096x4096x4096,100,1,1,0
38,4479,252729,0.020533033,210.9,11,4096x4096x4096,100,1,1,0
39,4551,255340,0.02789046,208.1,9,4096x4096x4096,100,1,1,0
40,4587,256948,0.017572574,210.7,9,4096x4096x4096,100,1,1,0
41,4873,267385,0.0171492,190.7,9,4096x4096x4096,100,1,1,0
42,4943,270962,0.018032497,211.5,9,4096x4096x4096,100,1,1,0
43,4979,272738,0.01767737,211.4,9,4096x4096x4096,100,1,1,0
44,5230,289068,0.016910486,199.0,12,4096x4096x4096,100,1,1,0
45,5286,290667,0.02284697,210.8,9,4096x4096x4096,100,1,1,0
46,5325,292110,0.021492297,200.0,9,4096x4096x4096,100,1,1,0
47,5352,292982,0.02197027,211.2,9,4096x4096x4096,100,1,1,0
48,5422,295884,3.3679502e-05,201.0,13,4096x4096x4096,100,1,1,0
49,5454,297205,0.014100668,121.0,9,2048x2048x2048,10,0,0,0
50,5646,305019,0.022338605,199.0,9,4096x4096x4096,100,1,1,0
51,5685,306364,0.032185294,210.9,9,4096x4096x4096,100,1,1,0
