cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,205,2291,0.020603828,222.6,1,4096x4096x4096,100,1,0,1
2,533,28817,3.404003e-05,95.6,2,4096x4096x4096,100,1,1,0
3,764,44192,3.3121374e-05,104.5,3,4096x4096x4096,100,1,1,0
4,1018,55666,3.5075635e-05,144.8,4,4096x4096x4096,100,1,1,0
5,1571,92527,0.018758703,151.6,5,4096x4096x4096,100,1,1,0
6,1719,98864,0.019313868,139.4,6,4096x4096x4096,100,1,1,0
7,1836,104906,0.018778766,128.5,7,4096x4096x4096,100,1,1,0
8,1900,108607,0.025420923,149.7,8,4096x4096x4096,100,1,1,0
9,2081,119810,0.01764987,133.3,9,4096x4096x4096,100,1,1,0
10,2270,131121,0.00414965,0.1,10,4096x4096x4096,3,0,0,0
11,2305,133221,0.015179341,2.6,10,2048x2048x2048,1,0,0,0
12,2373,136166,0.018556252,150.0,5,4096x4096x4096,10,0,0,0
13,2454,140424,3.632129e-05,143.5,4,4096x4096x4096,5,0,0,0
14,2636,146996,0.017375302,160.0,10,4096x4096x4096,100,1,1,0
15,2767,153153,0.023701865,144.8,11,4096x4096x4096,100,1,1,0
16,3019,165029,0.025470363,64.7,13,4096x4096x4096,1,0,0,0
17,3124,170166,0.020879889,68.8,14,4096x4096x4096,1,0,0,0
18,3209,173176,0.017910356,158.4,14,4096x4096x4096,1,0,0,0
19,3403,187088,0.019274399,134.8,15,4096x4096x4096,100,1,1,0
20,3739,205219,0.021162624,193.9,16,4096x4096x4096,100,1,1,0
21,3898,213196,0.0183562,193.8,16,4096x4096x4096,100,1,1,0
22,4104,224480,0.02188323,194.0,17,4096x4096x4096,1,0,0,0
23,4231,229994,0.019737372,152.4,17,4096x4096x4096,1,0,0,0
24,4642,252094,0.016959311,193.9,16,4096x4096x4096,100,1,1,0
25,4973,264933,0.02250537,192.9,18,4096x4096x4096,100,1,1,0
26,5487,288786,0.018872593,195.5,18,4096x4096x4096,1,0,0,0
27,5789,303711,0.01888676,193.7,19,4096x4096x4096,100,1,1,0
28,5962,312049,0.021152513,187.0,20,4096x4096x4096,1,0,0,0
29,6091,318617,0.021492813,195.4,18,4096x4096x4096,100,1,1,0
30,6311,328424,0.017845066,195.2,18,4096x4096x4096,30,0,0,0
31,6526,338793,0.021926688,191.9,18,4096x4096x4096,100,1,1,0
32,6690,347322,0.017085703,148.4,21,4096x4096x4096,1,0,0,0
33,6787,351334,0.020903151,195.5,18,4096x4096x4096,100,1,1,0
34,6984,364403,0.023509549,188.2,18,4096x4096x4096,100,1,1,0
35,7113,372121,0.023302939,195.2,18,4096x4096x4096,100,1,1,0
