cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,359,1949,0.016791211,220.5,1,4096x4096x4096,100,1,0,1
2,521,7197,0.019034954,220.1,1,4096x4096x4096,100,1,0,1
3,630,10934,3.1933712e-05,41.9,2,4096x4096x4096,100,1,1,0
4,1824,44189,3.6326535e-05,65.1,3,4096x4096x4096,100,1,1,0
5,2517,62170,3.30855e-05,118.5,4,4096x4096x4096,100,1,1,0
6,2740,63616,3.348527e-05,117.8,4,4096x4096x4096,1,0,0,0
7,2823,63963,3.5292458e-05,117.8,4,4096x4096x4096,1,0,0,0
8,5759,107336,3.885773e-05,105.7,5,4096x4096x4096,100,1,1,0
9,5899,111011,3.366901e-05,117.3,5,4096x4096x4096,400,0,0,0
10,6195,112941,3.287145e-05,132.4,4,4096x4096x4096,300,0,0,0
11,10023,174304,3.9261122e-05,164.8,5,4096x4096x4096,300,0,0,0
12,11177,200719,0.016706113,160.2,6,4096x4096x4096,300,0,0,0
13,12821,236499,0.018885242,166.8,6,4096x4096x4096,300,0,0,0
14,13011,238815,4.0949268e-05,166.5,5,4096x4096x4096,300,0,0,0
15,13607,253329,3.2541157e-05,168.3,5,4096x4096x4096,300,0,0,0
16,14711,291170,3.1582473e-05,217.9,7,4096x4096x4096,100,1,0,1
17,15086,299580,3.458995e-05,41.1,2,4096x4096x4096,100,1,1,0
