cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,184,10822,4.0942166e-05,52.0,1,4096x4096x4096,100,1,1,0
2,284,17254,3.5315268e-05,41.6,2,4096x4096x4096,100,1,1,0
3,329,19306,3.8312195e-05,58.3,1,4096x4096x4096,1,0,0,0
4,634,41553,3.9319613e-05,59.5,3,4096x4096x4096,100,1,1,0
5,812,53761,4.8278558e-05,107.9,4,4096x4096x4096,100,1,1,0
6,1329,72211,3.7285477e-05,3.2,5,4096x4096x4096,1,0,0,0
7,1387,75388,3.279372e-05,156.2,5,4096x4096x4096,100,1,1,0
8,1407,75935,3.433976e-05,156.2,5,4096x4096x4096,100,1,1,0
9,1568,85742,3.346385e-05,149.4,6,4096x4096x4096,100,1,1,0
10,1708,94833,3.8949922e-05,161.1,7,4096x4096x4096,100,1,1,0
11,1782,98055,3.8112004e-05,161.1,7,4096x4096x4096,100,1,1,0
12,2088,117122,3.5258156e-05,160.0,8,4096x4096x4096,100,1,1,0
13,2247,123363,3.525427e-05,154.1,8,4096x4096x4096,100,1,1,0
14,2396,130588,3.4195968e-05,168.0,8,4096x4096x4096,100,1,1,0
15,2677,146248,0.019875335,174.4,8,4096x4096x4096,100,1,1,0
16,2885,155214,0.021968156,107.2,15,4096x4096x4096,1,0,0,0
17,3198,168711,0.09578249,190.8,15,4096x4096x4096,1,0,0,0
18,17298,177137,0.022309367,178.6,15,4096x4096x4096,1,0,0,0
19,17451,184019,0.020045789,185.1,15,4096x4096x4096,1,0,0,0
20,17517,185622,3.1029063e-05,160.4,12,4096x4096x4096,100,1,1,0
21,17659,194937,0.018224796,185.1,20,4096x4096x4096,100,1,1,0
22,17764,198370,0.022507941,145.6,20,4096x4096x4096,100,1,1,0
23,17848,201336,0.02174249,182.7,15,4096x4096x4096,100,1,1,0
24,17929,205291,3.5929435e-05,171.4,22,4096x4096x4096,1,0,0,0
25,18326,227609,0.016561719,181.1,15,4096x4096x4096,100,1,1,0
26,18680,248011,0.03821586,168.5,26,4096x4096x4096,100,1,1,0
27,18838,255294,0.020609014,157.8,26,4096x4096x4096,100,1,1,0
28,19050,267221,0.019480225,173.3,26,4096x4096x4096,100,1,1,0
29,19192,273454,0.017602334,171.9,15,4096x4096x4096,100,1,1,0
30,19300,279980,0.01828552,185.2,15,4096x4096x4096,100,1,1,0
31,19533,292030,0.01809732,157.7,15,4096x4096x4096,100,1,1,0
32,19619,296343,0.016663937,164.6,15,4096x4096x4096,100,1,1,0
33,19784,306067,0.01809701,185.1,15,4096x4096x4096,100,1,1,0
34,20107,324831,0.03437385,185.1,22,4096x4096x4096,100,1,1,0
35,20341,337561,0.02305056,185.0,15,4096x4096x4096,100,1,1,0
36,20539,350827,0.022417786,158.7,9,4096x4096x4096,100,1,1,0
37,20631,354905,0.020070365,166.6,9,4096x4096x4096,100,1,1,0
38,20714,358952,0.022456383,185.1,15,4096x4096x4096,100,1,1,0
39,20879,367266,0.01852429,185.1,15,4096x4096x4096,100,1,1,0
40,21048,375975,3.658949e-05,125.7,9,4096x4096x4096,1,0,0,0
41,21168,381209,0.016733672,185.2,15,4096x4096x4096,100,1,1,0
42,21327,389292,0.016379345,185.1,15,4096x4096x4096,100,1,1,0
43,21601,407689,0.018888406,184.0,15,4096x4096x4096,100,1,1,0
44,21628,408451,0.019149914,184.1,15,4096x4096x4096,100,1,1,0
