cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,386,10807,3.2149273e-05,41.1,1,4096x4096x4096,100,1,1,0
2,599,25235,3.3527736e-05,52.8,2,4096x4096x4096,100,1,1,0
3,778,37191,3.526454e-05,96.2,3,4096x4096x4096,100,1,1,0
4,1154,63175,1.8538555e-06,0.0,4,256x256x256,1,0,0,0
5,1176,64276,4.2550732e-06,2.0,4,4096x4096x4096,1,0,0,0
6,1610,93626,0.00026726513,140.9,4,1024x1024x512,1,0,0,0
7,2464,122251,3.644628e-05,133.8,4,4096x4096x4096,100,1,1,0
8,3491,184039,3.180059e-05,148.3,5,4096x4096x4096,100,1,1,0
9,3915,205147,3.3655273e-05,135.9,5,4096x4096x4096,100,1,1,0
10,4375,230913,3.49256e-05,147.3,5,4096x4096x4096,100,1,1,0
11,5090,272506,3.1305484e-05,147.8,6,4096x4096x4096,1,0,0,0
12,6386,333557,3.6702844e-05,148.1,6,4096x4096x4096,100,1,1,0
13,8868,426343,5.2323598e-05,150.7,10,512x512x1024,1,0,0,0
14,9699,469941,4.955187e-05,150.7,10,4096x4096x4096,100,1,1,0
15,10079,491280,3.8641818e-05,150.7,10,4096x4096x4096,100,1,1,0
