cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,302,13537,3.866578e-05,62.6,1,4096x4096x4096,100,1,1,0
2,578,30794,3.43794e-05,74.5,2,4096x4096x4096,100,1,1,0
3,841,42849,4.3335338e-05,139.9,3,4096x4096x4096,100,1,1,0
4,1064,54088,3.2667584e-05,129.3,4,4096x4096x4096,100,1,1,0
5,1351,69435,4.1003274e-05,136.0,5,4096x4096x4096,100,1,1,0
6,1704,79272,3.9450904e-05,106.8,6,4096x4096x4096,100,1,1,0
7,1805,82168,3.4347566e-05,110.5,6,4096x4096x4096,100,1,1,0
8,2068,88103,3.0314333e-05,106.0,6,4096x4096x4096,100,1,1,0
9,2490,97592,4.7395104e-05,139.5,6,4096x4096x4096,100,1,1,0
10,2738,110084,4.5440516e-05,173.1,7,4096x4096x4096,100,1,1,0
11,2956,117619,3.525048e-05,173.2,7,4096x4096x4096,100,1,1,0
12,3189,121257,3.786449e-05,142.0,7,4096x4096x4096,100,1,1,0
13,3292,124730,3.413669e-05,173.3,7,4096x4096x4096,100,1,1,0
14,3926,150961,3.3589495e-05,170.1,8,4096x4096x4096,100,1,1,0
15,4466,170667,3.0194773e-05,178.5,9,4096x4096x4096,100,1,1,0
16,4774,186629,3.3891127e-05,194.6,7,4096x4096x4096,100,1,1,0
17,4931,190463,3.4235414e-05,188.4,7,4096x4096x4096,100,1,1,0
18,5029,195819,3.511632e-05,193.5,7,4096x4096x4096,100,1,1,0
19,5144,199809,3.748392e-05,192.8,10,4096x4096x4096,100,1,1,0
20,5250,203588,3.5502995e-05,193.7,7,4096x4096x4096,100,1,1,0
21,5398,212911,3.4056713e-05,195.3,7,4096x4096x4096,100,1,1,0
22,5677,221291,0.020844163,196.6,11,4096x4096x4096,100,1,1,0
23,5809,226892,3.804216e-05,194.3,7,4096x4096x4096,100,1,1,0
24,6036,236191,0.0213305,127.3,12,4096x4096x4096,100,1,1,0
25,6192,243378,3.689261e-05,193.5,7,4096x4096x4096,100,1,1,0
26,6486,257097,3.211706e-05,193.5,7,4096x4096x4096,100,1,1,0
27,6832,273913,5.391829e-05,194.5,7,4096x4096x4096,100,1,1,0
28,7208,291963,5.391829e-05,194.5,7,4096x4096x4096,1,0,0,0
29,7521,295419,3.293592e-05,195.2,7,4096x4096x4096,100,1,1,0
30,7607,295703,4.230817e-05,172.8,?,4096x4096x4096,100,1,1,0
31,7654,296716,3.4697307e-05,0.1,7,4096x4096x4096,1,0,0,0
32,7942,309605,3.829258e-05,195.3,13,4096x4096x4096,100,1,1,0
33,8874,354894,3.6501606e-05,192.7,14,4096x4096x4096,100,1,1,0
34,8999,360692,3.5419733e-05,0.1,7,4096x4096x4096,1,0,0,0
35,9350,376794,3.2355725e-05,194.5,7,4096x4096x4096,800,0,0,0
36,9382,377778,3.529968e-05,194.4,7,4096x4096x4096,600,0,0,0
37,9421,379352,3.1456882e-05,194.3,7,4096x4096x4096,2000,0,0,0
38,9529,385449,3.282931e-05,194.5,7,4096x4096x4096,1500,0,0,0
39,9593,387627,4.346726e-05,194.5,7,4096x4096x4096,800,0,0,0
40,10691,435690,3.0809137e-05,193.9,7,4096x4096x4096,100,1,1,0
41,11909,495217,3.1213935e-05,168.6,17,4096x4096x4096,100,1,1,0
42,12087,505775,3.4578723e-05,158.5,17,4096x4096x4096,100,1,1,0
43,12334,519838,3.2163356e-05,195.1,7,4096x4096x4096,100,1,1,0
44,12581,527050,6.953023e-05,195.0,18,4096x4096x4096,100,1,1,0
45,13066,536228,3.4090088e-05,196.1,18,4096x4096x4096,100,1,1,0
