cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,438,26548,0.019599706,126.5,1,4096x4096x4096,100,1,1,0
2,764,50500,3.20856e-05,194.0,2,4096x4096x4096,100,1,1,0
3,819,52564,3.5214514e-05,191.7,2,4096x4096x4096,1,0,0,0
4,1033,67175,3.9791365e-05,190.5,3,4096x4096x4096,100,1,1,0
5,1201,75823,3.3510234e-05,157.8,4,4096x4096x4096,100,1,1,0
6,1374,83344,3.434969e-05,195.8,4,4096x4096x4096,100,1,1,0
7,1424,85314,6.084768e-05,196.5,4,4096x4096x4096,200,0,0,0
8,1533,90605,4.1475276e-05,195.5,6,4096x4096x4096,100,1,1,0
9,1901,111507,0.0163512,200.1,7,4096x4096x4096,100,1,1,0
10,2178,125771,0.02610482,199.2,7,4096x4096x4096,300,0,0,0
11,2217,127422,0.029062135,199.5,7,4096x4096x4096,4000,0,0,0
12,2233,127762,0.020827107,199.6,7,4096x4096x4096,4000,0,0,0
13,2485,142908,4.7399935e-05,210.5,8,4096x4096x4096,100,1,1,0
14,2601,148770,3.3522545e-05,219.5,8,3456x4096x4096,100,0,0,0
15,2903,168828,0.0016926636,142.1,9,4096x4096x4096,100,1,1,0
16,3090,181812,0.0036734117,141.2,9,4096x4096x4096,100,1,1,0
17,4679,226314,3.4005803e-05,208.5,8,4096x4096x4096,100,1,1,0
18,4726,227533,3.815986e-05,119.5,9,4096x4096x4096,100,1,1,0
19,4807,232020,3.1024585e-05,180.6,9,4096x4096x4096,100,1,1,0
20,4906,237489,3.045481e-05,210.6,10,4096x4096x4096,100,1,1,0
21,5031,246368,3.3027936e-05,214.3,11,4096x4096x4096,100,1,1,0
22,5277,261937,12.293495,209.0,12,4096x4096x4096,100,1,0,0
23,5324,264335,3.294752e-05,216.1,12,4096x4096x4096,100,1,1,0
24,5463,271990,3.6972127e-05,217.2,13,4096x4096x4096,100,1,1,0
25,5521,274315,0.022512758,217.9,14,4096x4096x4096,100,1,1,0
26,5685,285677,3.4407993e-05,162.7,15,4096x4096x4096,100,1,1,0
27,5892,294564,4.6041772e-05,215.6,16,4096x4096x4096,100,1,1,0
28,5908,294824,4.0438536e-05,216.6,16,4096x4096x4096,100,1,1,0
29,5932,295968,3.546718e-05,214.5,16,4096x4096x4096,100,1,1,0
30,6282,316486,5.42299e-05,211.8,17,4096x4096x4096,100,1,1,0
31,6333,318382,3.1865082e-05,215.7,16,4096x4096x4096,100,1,1,0
32,6352,318699,4.9282145e-05,215.6,13,4096x4096x4096,100,1,1,0
33,6625,332669,3.4247638e-05,217.1,12,4096x4096x4096,100,1,1,0
34,6825,345303,3.3124306e-05,217.4,18,4096x4096x4096,100,1,1,0
35,6845,345607,3.4840505e-05,217.5,18,4096x4096x4096,100,1,1,0
36,6920,348792,3.4795492e-05,216.4,19,4096x4096x4096,100,1,1,0
37,6945,349454,4.1728617e-05,217.9,19,4096x4096x4096,100,1,1,0
38,6999,352540,7.069701e-05,217.1,19,4096x4096x4096,100,1,1,0
39,7034,353979,3.9900922e-05,218.4,19,4096x4096x4096,100,1,1,0
40,7063,354406,5.0212246e-05,219.0,18,4096x4096x4096,100,1,1,0
41,7204,362924,3.198615e-05,167.8,20,4096x4096x4096,100,1,1,0
42,7255,364945,3.4400695e-05,85.7,20,4096x4096x4096,100,1,1,0
43,7444,373455,4.5212484e-05,215.0,21,4096x4096x4096,100,1,1,0
44,7517,374770,3.742071e-05,217.8,19,4096x4096x4096,100,1,1,0
45,7717,385996,3.0487856e-05,153.5,22,4096x4096x4096,100,1,1,0
46,7890,393409,1.7130627e-05,123.4,19,2048x2048x2048,100,0,0,0
47,7996,396145,7.647205e-05,219.5,19,4096x4096x4096,100,1,1,0
